year,sex,age,population
1971,Male,0,133347
1972,Male,0,136987
1973,Male,0,129492
1974,Male,0,124803
1975,Male,0,120678
1976,Male,0,115457
1977,Male,0,115298
1978,Male,0,115249
1979,Male,0,113443
1980,Male,0,114488
1981,Male,0,117842
1982,Male,0,121129
1983,Male,0,123761
1984,Male,0,122309
1985,Male,0,123187
1986,Male,0,122376
1987,Male,0,124069
1988,Male,0,125702
1989,Male,0,127847
1990,Male,0,131758
1991,Male,0,132946
1992,Male,0,132385
1993,Male,0,132575
1994,Male,0,132124
1995,Male,0,132269
1996,Male,0,130388
1997,Male,0,130109
1998,Male,0,127895
1999,Male,0,128409
2000,Male,0,128561
2001,Male,0,129011
2002,Male,0,127625
2003,Male,0,127686
2004,Male,0,129525
2005,Male,0,132477
2006,Male,0,136681
2007,Male,0,145930
2008,Male,0,149299
2009,Male,0,151627
2010,Male,0,152773
2011,Male,0,149027
2012,Male,0,156689
2013,Male,0,159365
2014,Male,0,157172
2015,Male,0,158281
2016,Male,0,164034
2017,Male,0,157563
2018,Male,0,155668
2019,Male,0,155871
2020,Male,0,152279
2021,Male,0,153350
2022,Male,0,157795
2023,Male,0,149717
2024,Male,0,148928
2025,Male,0,153909
1971,Male,1,127834
1972,Male,1,134232
1973,Male,1,137057
1974,Male,1,130161
1975,Male,1,125807
1976,Male,1,119694
1977,Male,1,115936
1978,Male,1,115587
1979,Male,1,115402
1980,Male,1,113943
1981,Male,1,115397
1982,Male,1,118804
1983,Male,1,121591
1984,Male,1,123927
1985,Male,1,122572
1986,Male,1,123947
1987,Male,1,123655
1988,Male,1,125202
1989,Male,1,126870
1990,Male,1,128771
1991,Male,1,132272
1992,Male,1,133314
1993,Male,1,132178
1994,Male,1,132531
1995,Male,1,132458
1996,Male,1,132662
1997,Male,1,130955
1998,Male,1,130678
1999,Male,1,128553
2000,Male,1,129355
2001,Male,1,129860
2002,Male,1,129677
2003,Male,1,128410
2004,Male,1,128539
2005,Male,1,130491
2006,Male,1,133184
2007,Male,1,138494
2008,Male,1,146337
2009,Male,1,149254
2010,Male,1,150573
2011,Male,1,151366
2012,Male,1,151351
2013,Male,1,157765
2014,Male,1,160025
2015,Male,1,158130
2016,Male,1,160005
2017,Male,1,164270
2018,Male,1,158037
2019,Male,1,156009
2020,Male,1,155503
2021,Male,1,151459
2022,Male,1,153734
2023,Male,1,159217
2024,Male,1,151249
2025,Male,1,150217
1971,Male,2,129131
1972,Male,2,128856
1973,Male,2,135564
1974,Male,2,138038
1975,Male,2,130706
1976,Male,2,126940
1977,Male,2,120387
1978,Male,2,116767
1979,Male,2,116016
1980,Male,2,116036
1981,Male,2,115058
1982,Male,2,116828
1983,Male,2,119697
1984,Male,2,122051
1985,Male,2,124497
1986,Male,2,123396
1987,Male,2,125016
1988,Male,2,125422
1989,Male,2,126572
1990,Male,2,127912
1991,Male,2,129682
1992,Male,2,132943
1993,Male,2,133510
1994,Male,2,132283
1995,Male,2,132911
1996,Male,2,133031
1997,Male,2,133594
1998,Male,2,131804
1999,Male,2,131384
2000,Male,2,129357
2001,Male,2,130513
2002,Male,2,130585
2003,Male,2,130672
2004,Male,2,129222
2005,Male,2,129727
2006,Male,2,131752
2007,Male,2,135371
2008,Male,2,141116
2009,Male,2,147229
2010,Male,2,149392
2011,Male,2,150320
2012,Male,2,153940
2013,Male,2,154130
2014,Male,2,159012
2015,Male,2,161280
2016,Male,2,159736
2017,Male,2,161252
2018,Male,2,164646
2019,Male,2,159055
2020,Male,2,156444
2021,Male,2,155086
2022,Male,2,152266
2023,Male,2,155340
2024,Male,2,161058
2025,Male,2,152844
1971,Male,3,124442
1972,Male,3,129786
1973,Male,3,129748
1974,Male,3,137320
1975,Male,3,138640
1976,Male,3,131186
1977,Male,3,127286
1978,Male,3,121212
1979,Male,3,117652
1980,Male,3,116677
1981,Male,3,117110
1982,Male,3,116466
1983,Male,3,117729
1984,Male,3,120287
1985,Male,3,122753
1986,Male,3,125490
1987,Male,3,124744
1988,Male,3,126617
1989,Male,3,127405
1990,Male,3,127677
1991,Male,3,128732
1992,Male,3,130351
1993,Male,3,133363
1994,Male,3,133945
1995,Male,3,132706
1996,Male,3,133431
1997,Male,3,133966
1998,Male,3,134497
1999,Male,3,132706
2000,Male,3,132226
2001,Male,3,130450
2002,Male,3,131352
2003,Male,3,131470
2004,Male,3,131697
2005,Male,3,130419
2006,Male,3,131114
2007,Male,3,133673
2008,Male,3,137727
2009,Male,3,143766
2010,Male,3,147633
2011,Male,3,149673
2012,Male,3,152827
2013,Male,3,156387
2014,Male,3,156510
2015,Male,3,160379
2016,Male,3,162613
2017,Male,3,161453
2018,Male,3,162346
2019,Male,3,165178
2020,Male,3,159783
2021,Male,3,156156
2022,Male,3,156305
2023,Male,3,154201
2024,Male,3,157302
2025,Male,3,162808
1971,Male,4,124187
1972,Male,4,125060
1973,Male,4,130315
1974,Male,4,131039
1975,Male,4,138725
1976,Male,4,139021
1977,Male,4,131450
1978,Male,4,127671
1979,Male,4,121941
1980,Male,4,118752
1981,Male,4,117811
1982,Male,4,118483
1983,Male,4,117390
1984,Male,4,118338
1985,Male,4,121164
1986,Male,4,123811
1987,Male,4,126672
1988,Male,4,126465
1989,Male,4,128338
1990,Male,4,129113
1991,Male,4,128670
1992,Male,4,129422
1993,Male,4,130617
1994,Male,4,133895
1995,Male,4,134624
1996,Male,4,133253
1997,Male,4,134268
1998,Male,4,134972
1999,Male,4,135521
2000,Male,4,133722
2001,Male,4,133219
2002,Male,4,131324
2003,Male,4,132378
2004,Male,4,132519
2005,Male,4,132929
2006,Male,4,131725
2007,Male,4,132783
2008,Male,4,135773
2009,Male,4,140093
2010,Male,4,145951
2011,Male,4,148141
2012,Male,4,152415
2013,Male,4,155193
2014,Male,4,158489
2015,Male,4,158968
2016,Male,4,161505
2017,Male,4,164472
2018,Male,4,163079
2019,Male,4,163539
2020,Male,4,165562
2021,Male,4,159848
2022,Male,4,157328
2023,Male,4,158527
2024,Male,4,156448
2025,Male,4,159148
1971,Male,5,121353
1972,Male,5,124526
1973,Male,5,125532
1974,Male,5,131121
1975,Male,5,131976
1976,Male,5,139696
1977,Male,5,139433
1978,Male,5,131820
1979,Male,5,128090
1980,Male,5,122871
1981,Male,5,120391
1982,Male,5,119046
1983,Male,5,119229
1984,Male,5,117842
1985,Male,5,119123
1986,Male,5,122258
1987,Male,5,124870
1988,Male,5,128145
1989,Male,5,128065
1990,Male,5,129622
1991,Male,5,130514
1992,Male,5,129460
1993,Male,5,129752
1994,Male,5,131033
1995,Male,5,134659
1996,Male,5,135392
1997,Male,5,134314
1998,Male,5,135242
1999,Male,5,136038
2000,Male,5,136693
2001,Male,5,134855
2002,Male,5,133972
2003,Male,5,132379
2004,Male,5,133421
2005,Male,5,133784
2006,Male,5,134345
2007,Male,5,133356
2008,Male,5,134691
2009,Male,5,138209
2010,Male,5,142049
2011,Male,5,148229
2012,Male,5,150939
2013,Male,5,154963
2014,Male,5,157298
2015,Male,5,160578
2016,Male,5,161432
2017,Male,5,163479
2018,Male,5,165987
2019,Male,5,164675
2020,Male,5,164602
2021,Male,5,165026
2022,Male,5,161231
2023,Male,5,159777
2024,Male,5,160930
2025,Male,5,158349
1971,Male,6,123746
1972,Male,6,122135
1973,Male,6,124651
1974,Male,6,126272
1975,Male,6,131651
1976,Male,6,132502
1977,Male,6,140486
1978,Male,6,139894
1979,Male,6,132035
1980,Male,6,128596
1981,Male,6,124310
1982,Male,6,121746
1983,Male,6,119813
1984,Male,6,119753
1985,Male,6,118659
1986,Male,6,120252
1987,Male,6,123827
1988,Male,6,126337
1989,Male,6,129669
1990,Male,6,129364
1991,Male,6,130699
1992,Male,6,131286
1993,Male,6,129744
1994,Male,6,130104
1995,Male,6,131679
1996,Male,6,135623
1997,Male,6,136289
1998,Male,6,135422
1999,Male,6,136353
2000,Male,6,137163
2001,Male,6,137911
2002,Male,6,135635
2003,Male,6,134752
2004,Male,6,133404
2005,Male,6,134584
2006,Male,6,135142
2007,Male,6,135930
2008,Male,6,135031
2009,Male,6,136545
2010,Male,6,139854
2011,Male,6,144049
2012,Male,6,149781
2013,Male,6,153492
2014,Male,6,157033
2015,Male,6,158970
2016,Male,6,162362
2017,Male,6,163043
2018,Male,6,164799
2019,Male,6,167155
2020,Male,6,165989
2021,Male,6,164477
2022,Male,6,166185
2023,Male,6,163487
2024,Male,6,162117
2025,Male,6,162862
1971,Male,7,129162
1972,Male,7,124299
1973,Male,7,122663
1974,Male,7,125072
1975,Male,7,126756
1976,Male,7,131837
1977,Male,7,132940
1978,Male,7,141359
1979,Male,7,140035
1980,Male,7,132467
1981,Male,7,129610
1982,Male,7,125692
1983,Male,7,122592
1984,Male,7,120165
1985,Male,7,120305
1986,Male,7,119677
1987,Male,7,121448
1988,Male,7,125664
1989,Male,7,127639
1990,Male,7,130739
1991,Male,7,130389
1992,Male,7,131334
1993,Male,7,131608
1994,Male,7,130113
1995,Male,7,130724
1996,Male,7,132489
1997,Male,7,136295
1998,Male,7,137153
1999,Male,7,136566
2000,Male,7,137394
2001,Male,7,138465
2002,Male,7,138622
2003,Male,7,136299
2004,Male,7,135526
2005,Male,7,134560
2006,Male,7,135780
2007,Male,7,136453
2008,Male,7,137435
2009,Male,7,136688
2010,Male,7,137922
2011,Male,7,141402
2012,Male,7,145136
2013,Male,7,151078
2014,Male,7,155646
2015,Male,7,158801
2016,Male,7,160540
2017,Male,7,163943
2018,Male,7,164238
2019,Male,7,166035
2020,Male,7,168119
2021,Male,7,166175
2022,Male,7,165536
2023,Male,7,168224
2024,Male,7,165607
2025,Male,7,163892
1971,Male,8,131406
1972,Male,8,130160
1973,Male,8,124605
1974,Male,8,123557
1975,Male,8,125225
1976,Male,8,126865
1977,Male,8,132360
1978,Male,8,133356
1979,Male,8,141949
1980,Male,8,140508
1981,Male,8,133357
1982,Male,8,130889
1983,Male,8,126439
1984,Male,8,123157
1985,Male,8,120714
1986,Male,8,121177
1987,Male,8,121072
1988,Male,8,122839
1989,Male,8,127436
1990,Male,8,128628
1991,Male,8,131539
1992,Male,8,131269
1993,Male,8,131455
1994,Male,8,132015
1995,Male,8,130663
1996,Male,8,131525
1997,Male,8,133291
1998,Male,8,136860
1999,Male,8,138067
2000,Male,8,137841
2001,Male,8,138584
2002,Male,8,139173
2003,Male,8,139341
2004,Male,8,136954
2005,Male,8,136583
2006,Male,8,135941
2007,Male,8,137062
2008,Male,8,137974
2009,Male,8,139095
2010,Male,8,137848
2011,Male,8,139417
2012,Male,8,142746
2013,Male,8,146165
2014,Male,8,152080
2015,Male,8,157422
2016,Male,8,160537
2017,Male,8,162218
2018,Male,8,165288
2019,Male,8,165407
2020,Male,8,167158
2021,Male,8,168229
2022,Male,8,167208
2023,Male,8,167534
2024,Male,8,170310
2025,Male,8,167281
1971,Male,9,133232
1972,Male,9,132175
1973,Male,9,130914
1974,Male,9,125151
1975,Male,9,124136
1976,Male,9,125096
1977,Male,9,127239
1978,Male,9,132984
1979,Male,9,133684
1980,Male,9,142798
1981,Male,9,141435
1982,Male,9,134991
1983,Male,9,131657
1984,Male,9,126830
1985,Male,9,123763
1986,Male,9,121514
1987,Male,9,122346
1988,Male,9,122739
1989,Male,9,124229
1990,Male,9,128968
1991,Male,9,129277
1992,Male,9,132366
1993,Male,9,131612
1994,Male,9,131662
1995,Male,9,132589
1996,Male,9,131359
1997,Male,9,132324
1998,Male,9,133971
1999,Male,9,137560
2000,Male,9,139104
2001,Male,9,139283
2002,Male,9,139386
2003,Male,9,139830
2004,Male,9,140178
2005,Male,9,137930
2006,Male,9,137693
2007,Male,9,137471
2008,Male,9,138540
2009,Male,9,139449
2010,Male,9,140237
2011,Male,9,139108
2012,Male,9,140610
2013,Male,9,143922
2014,Male,9,146942
2015,Male,9,152876
2016,Male,9,159348
2017,Male,9,162202
2018,Male,9,163731
2019,Male,9,166631
2020,Male,9,166481
2021,Male,9,167474
2022,Male,9,169254
2023,Male,9,169144
2024,Male,9,169571
2025,Male,9,172037
1971,Male,10,133471
1972,Male,10,133957
1973,Male,10,132626
1974,Male,10,131836
1975,Male,10,125504
1976,Male,10,124377
1977,Male,10,125723
1978,Male,10,127565
1979,Male,10,133491
1980,Male,10,134242
1981,Male,10,144095
1982,Male,10,142881
1983,Male,10,136132
1984,Male,10,132104
1985,Male,10,127584
1986,Male,10,124677
1987,Male,10,122804
1988,Male,10,123716
1989,Male,10,124437
1990,Male,10,125259
1991,Male,10,130149
1992,Male,10,130279
1993,Male,10,132794
1994,Male,10,132099
1995,Male,10,132039
1996,Male,10,133354
1997,Male,10,132313
1998,Male,10,133074
1999,Male,10,134794
2000,Male,10,138319
2001,Male,10,140278
2002,Male,10,140222
2003,Male,10,140286
2004,Male,10,140515
2005,Male,10,141138
2006,Male,10,138961
2007,Male,10,139077
2008,Male,10,138998
2009,Male,10,140065
2010,Male,10,140433
2011,Male,10,141445
2012,Male,10,140316
2013,Male,10,141633
2014,Male,10,144888
2015,Male,10,147431
2016,Male,10,153699
2017,Male,10,160992
2018,Male,10,163606
2019,Male,10,165241
2020,Male,10,167907
2021,Male,10,166767
2022,Male,10,168547
2023,Male,10,171135
2024,Male,10,171020
2025,Male,10,171295
1971,Male,11,129064
1972,Male,11,134449
1973,Male,11,134367
1974,Male,11,133349
1975,Male,11,132542
1976,Male,11,125407
1977,Male,11,124857
1978,Male,11,126275
1979,Male,11,127886
1980,Male,11,134227
1981,Male,11,135250
1982,Male,11,145561
1983,Male,11,143815
1984,Male,11,136987
1985,Male,11,132693
1986,Male,11,128419
1987,Male,11,125889
1988,Male,11,124429
1989,Male,11,125054
1990,Male,11,125780
1991,Male,11,126022
1992,Male,11,130464
1993,Male,11,130735
1994,Male,11,133266
1995,Male,11,132734
1996,Male,11,132536
1997,Male,11,134032
1998,Male,11,133235
1999,Male,11,133872
2000,Male,11,135697
2001,Male,11,139153
2002,Male,11,140987
2003,Male,11,141088
2004,Male,11,141075
2005,Male,11,141440
2006,Male,11,142191
2007,Male,11,140352
2008,Male,11,140450
2009,Male,11,140505
2010,Male,11,141070
2011,Male,11,141421
2012,Male,11,142659
2013,Male,11,141323
2014,Male,11,142464
2015,Male,11,145602
2016,Male,11,148006
2017,Male,11,154992
2018,Male,11,162357
2019,Male,11,165082
2020,Male,11,166698
2021,Male,11,168370
2022,Male,11,167679
2023,Male,11,170384
2024,Male,11,173022
2025,Male,11,172606
1971,Male,12,128933
1972,Male,12,129900
1973,Male,12,135221
1974,Male,12,134982
1975,Male,12,133798
1976,Male,12,132985
1977,Male,12,126143
1978,Male,12,125292
1979,Male,12,126781
1980,Male,12,128391
1981,Male,12,135326
1982,Male,12,136512
1983,Male,12,146416
1984,Male,12,144437
1985,Male,12,138030
1986,Male,12,133542
1987,Male,12,129532
1988,Male,12,127243
1989,Male,12,126002
1990,Male,12,126110
1991,Male,12,126885
1992,Male,12,126760
1993,Male,12,130443
1994,Male,12,131383
1995,Male,12,133932
1996,Male,12,133523
1997,Male,12,133329
1998,Male,12,134760
1999,Male,12,134218
2000,Male,12,134730
2001,Male,12,136769
2002,Male,12,140249
2003,Male,12,141880
2004,Male,12,141899
2005,Male,12,141996
2006,Male,12,142338
2007,Male,12,143496
2008,Male,12,141786
2009,Male,12,141835
2010,Male,12,141551
2011,Male,12,142100
2012,Male,12,142619
2013,Male,12,143792
2014,Male,12,142156
2015,Male,12,143147
2016,Male,12,146382
2017,Male,12,149509
2018,Male,12,156155
2019,Male,12,163806
2020,Male,12,166427
2021,Male,12,167359
2022,Male,12,169399
2023,Male,12,169459
2024,Male,12,172350
2025,Male,12,174669
1971,Male,13,125823
1972,Male,13,129380
1973,Male,13,130461
1974,Male,13,136119
1975,Male,13,135430
1976,Male,13,133976
1977,Male,13,132969
1978,Male,13,126776
1979,Male,13,125642
1980,Male,13,127439
1981,Male,13,129174
1982,Male,13,136300
1983,Male,13,137246
1984,Male,13,146954
1985,Male,13,145209
1986,Male,13,139301
1987,Male,13,134500
1988,Male,13,130874
1989,Male,13,128475
1990,Male,13,127335
1991,Male,13,126926
1992,Male,13,127341
1993,Male,13,127233
1994,Male,13,130513
1995,Male,13,132149
1996,Male,13,134802
1997,Male,13,133667
1998,Male,13,134107
1999,Male,13,135456
2000,Male,13,135221
2001,Male,13,135823
2002,Male,13,137759
2003,Male,13,141362
2004,Male,13,142642
2005,Male,13,142902
2006,Male,13,142966
2007,Male,13,143253
2008,Male,13,144809
2009,Male,13,143094
2010,Male,13,142884
2011,Male,13,142585
2012,Male,13,143227
2013,Male,13,143726
2014,Male,13,144729
2015,Male,13,142825
2016,Male,13,143766
2017,Male,13,147437
2018,Male,13,150824
2019,Male,13,157280
2020,Male,13,165123
2021,Male,13,167019
2022,Male,13,168309
2023,Male,13,170946
2024,Male,13,171224
2025,Male,13,173958
1971,Male,14,123483
1972,Male,14,125790
1973,Male,14,129451
1974,Male,14,131033
1975,Male,14,136820
1976,Male,14,135543
1977,Male,14,134162
1978,Male,14,132926
1979,Male,14,127374
1980,Male,14,126166
1981,Male,14,128392
1982,Male,14,130305
1983,Male,14,136689
1984,Male,14,137778
1985,Male,14,147646
1986,Male,14,146263
1987,Male,14,140050
1988,Male,14,135588
1989,Male,14,132321
1990,Male,14,129508
1991,Male,14,128329
1992,Male,14,127400
1993,Male,14,127536
1994,Male,14,127778
1995,Male,14,130792
1996,Male,14,133145
1997,Male,14,134594
1998,Male,14,133849
1999,Male,14,134863
2000,Male,14,136164
2001,Male,14,136373
2002,Male,14,136594
2003,Male,14,138646
2004,Male,14,142256
2005,Male,14,143502
2006,Male,14,143929
2007,Male,14,143734
2008,Male,14,144263
2009,Male,14,146106
2010,Male,14,144081
2011,Male,14,143992
2012,Male,14,143631
2013,Male,14,144354
2014,Male,14,144701
2015,Male,14,145619
2016,Male,14,143595
2017,Male,14,144900
2018,Male,14,148358
2019,Male,14,152084
2020,Male,14,158427
2021,Male,14,165805
2022,Male,14,168084
2023,Male,14,169962
2024,Male,14,172673
2025,Male,14,172697
1971,Male,15,121058
1972,Male,15,123204
1973,Male,15,125464
1974,Male,15,129614
1975,Male,15,131456
1976,Male,15,137251
1977,Male,15,135343
1978,Male,15,134297
1979,Male,15,132834
1980,Male,15,128084
1981,Male,15,126968
1982,Male,15,128978
1983,Male,15,130981
1984,Male,15,136837
1985,Male,15,138450
1986,Male,15,148503
1987,Male,15,146926
1988,Male,15,140969
1989,Male,15,136892
1990,Male,15,133435
1991,Male,15,130302
1992,Male,15,128639
1993,Male,15,127650
1994,Male,15,127855
1995,Male,15,128512
1996,Male,15,131369
1997,Male,15,132687
1998,Male,15,134402
1999,Male,15,134080
2000,Male,15,135801
2001,Male,15,137235
2002,Male,15,137025
2003,Male,15,137316
2004,Male,15,139283
2005,Male,15,143415
2006,Male,15,144349
2007,Male,15,144669
2008,Male,15,144724
2009,Male,15,145578
2010,Male,15,147354
2011,Male,15,145265
2012,Male,15,145048
2013,Male,15,144829
2014,Male,15,145455
2015,Male,15,146014
2016,Male,15,147017
2017,Male,15,145148
2018,Male,15,146180
2019,Male,15,149491
2020,Male,15,153309
2021,Male,15,158809
2022,Male,15,166752
2023,Male,15,169774
2024,Male,15,171823
2025,Male,15,174306
1971,Male,16,116144
1972,Male,16,121321
1973,Male,16,122725
1974,Male,16,125265
1975,Male,16,129595
1976,Male,16,131532
1977,Male,16,136696
1978,Male,16,135068
1979,Male,16,134434
1980,Male,16,132827
1981,Male,16,129114
1982,Male,16,127725
1983,Male,16,129260
1984,Male,16,131368
1985,Male,16,137114
1986,Male,16,139242
1987,Male,16,149078
1988,Male,16,147866
1989,Male,16,142030
1990,Male,16,137988
1991,Male,16,134460
1992,Male,16,130628
1993,Male,16,128847
1994,Male,16,128039
1995,Male,16,128424
1996,Male,16,129630
1997,Male,16,130963
1998,Male,16,132324
1999,Male,16,134454
2000,Male,16,134581
2001,Male,16,137209
2002,Male,16,138034
2003,Male,16,137670
2004,Male,16,137918
2005,Male,16,140285
2006,Male,16,144793
2007,Male,16,145608
2008,Male,16,146068
2009,Male,16,146184
2010,Male,16,146978
2011,Male,16,148891
2012,Male,16,146915
2013,Male,16,146542
2014,Male,16,146302
2015,Male,16,147119
2016,Male,16,147904
2017,Male,16,149044
2018,Male,16,146756
2019,Male,16,147635
2020,Male,16,150483
2021,Male,16,153696
2022,Male,16,159802
2023,Male,16,168609
2024,Male,16,171856
2025,Male,16,173466
1971,Male,17,113982
1972,Male,17,116726
1973,Male,17,121378
1974,Male,17,122322
1975,Male,17,124758
1976,Male,17,129373
1977,Male,17,131533
1978,Male,17,136085
1979,Male,17,134883
1980,Male,17,134736
1981,Male,17,133197
1982,Male,17,130039
1983,Male,17,128245
1984,Male,17,129318
1985,Male,17,132021
1986,Male,17,137636
1987,Male,17,140106
1988,Male,17,149863
1989,Male,17,149281
1990,Male,17,143013
1991,Male,17,138828
1992,Male,17,134988
1993,Male,17,130840
1994,Male,17,129216
1995,Male,17,128725
1996,Male,17,129355
1997,Male,17,128875
1998,Male,17,130729
1999,Male,17,132458
2000,Male,17,135136
2001,Male,17,136086
2002,Male,17,138078
2003,Male,17,139072
2004,Male,17,138481
2005,Male,17,139338
2006,Male,17,141665
2007,Male,17,147205
2008,Male,17,148299
2009,Male,17,148062
2010,Male,17,147964
2011,Male,17,148744
2012,Male,17,151306
2013,Male,17,148965
2014,Male,17,148065
2015,Male,17,148067
2016,Male,17,149189
2017,Male,17,150392
2018,Male,17,151044
2019,Male,17,148380
2020,Male,17,148589
2021,Male,17,150484
2022,Male,17,154727
2023,Male,17,161752
2024,Male,17,170840
2025,Male,17,173640
1971,Male,18,114473
1972,Male,18,114838
1973,Male,18,117546
1974,Male,18,121828
1975,Male,18,121737
1976,Male,18,124321
1977,Male,18,129525
1978,Male,18,131859
1979,Male,18,135872
1980,Male,18,134991
1981,Male,18,135667
1982,Male,18,134199
1983,Male,18,130773
1984,Male,18,128749
1985,Male,18,129700
1986,Male,18,132824
1987,Male,18,137906
1988,Male,18,141153
1989,Male,18,151034
1990,Male,18,150469
1991,Male,18,143609
1992,Male,18,138897
1993,Male,18,135208
1994,Male,18,131255
1995,Male,18,129771
1996,Male,18,129848
1997,Male,18,128391
1998,Male,18,128600
1999,Male,18,131211
2000,Male,18,133657
2001,Male,18,137502
2002,Male,18,137493
2003,Male,18,139969
2004,Male,18,140456
2005,Male,18,140193
2006,Male,18,141023
2007,Male,18,145871
2008,Male,18,152369
2009,Male,18,152447
2010,Male,18,150568
2011,Male,18,150442
2012,Male,18,151992
2013,Male,18,154967
2014,Male,18,152993
2015,Male,18,151892
2016,Male,18,152710
2017,Male,18,154748
2018,Male,18,156832
2019,Male,18,157448
2020,Male,18,151343
2021,Male,18,148319
2022,Male,18,153757
2023,Male,18,161941
2024,Male,18,167909
2025,Male,18,176586
1971,Male,19,112114
1972,Male,19,116131
1973,Male,19,115826
1974,Male,19,118762
1975,Male,19,121916
1976,Male,19,121222
1977,Male,19,125685
1978,Male,19,129797
1979,Male,19,132485
1980,Male,19,135887
1981,Male,19,135833
1982,Male,19,137165
1983,Male,19,135254
1984,Male,19,131584
1985,Male,19,129692
1986,Male,19,130346
1987,Male,19,133744
1988,Male,19,138543
1989,Male,19,142911
1990,Male,19,152521
1991,Male,19,151574
1992,Male,19,143963
1993,Male,19,138981
1994,Male,19,135859
1995,Male,19,132388
1996,Male,19,131338
1997,Male,19,129660
1998,Male,19,128278
1999,Male,19,129257
2000,Male,19,132779
2001,Male,19,136122
2002,Male,19,139356
2003,Male,19,139621
2004,Male,19,141721
2005,Male,19,142701
2006,Male,19,142786
2007,Male,19,146238
2008,Male,19,152297
2009,Male,19,159171
2010,Male,19,156457
2011,Male,19,153257
2012,Male,19,154379
2013,Male,19,157059
2014,Male,19,161574
2015,Male,19,159405
2016,Male,19,158755
2017,Male,19,160629
2018,Male,19,163795
2019,Male,19,166737
2020,Male,19,162536
2021,Male,19,150573
2022,Male,19,155751
2023,Male,19,168196
2024,Male,19,173780
2025,Male,19,179022
1971,Male,20,113285
1972,Male,20,114016
1973,Male,20,117474
1974,Male,20,116797
1975,Male,20,119156
1976,Male,20,121847
1977,Male,20,122703
1978,Male,20,126798
1979,Male,20,130443
1980,Male,20,133031
1981,Male,20,136447
1982,Male,20,137600
1983,Male,20,137822
1984,Male,20,135634
1985,Male,20,132184
1986,Male,20,130460
1987,Male,20,131312
1988,Male,20,134651
1989,Male,20,139359
1990,Male,20,144162
1991,Male,20,153276
1992,Male,20,151513
1993,Male,20,143901
1994,Male,20,139192
1995,Male,20,136750
1996,Male,20,133641
1997,Male,20,131004
1998,Male,20,129309
1999,Male,20,128421
2000,Male,20,130372
2001,Male,20,134913
2002,Male,20,137639
2003,Male,20,141332
2004,Male,20,141446
2005,Male,20,144185
2006,Male,20,145707
2007,Male,20,147703
2008,Male,20,152510
2009,Male,20,159410
2010,Male,20,163224
2011,Male,20,159078
2012,Male,20,157511
2013,Male,20,158860
2014,Male,20,163016
2015,Male,20,167109
2016,Male,20,164986
2017,Male,20,164859
2018,Male,20,166840
2019,Male,20,169934
2020,Male,20,168604
2021,Male,20,160207
2022,Male,20,159878
2023,Male,20,169365
2024,Male,20,177153
2025,Male,20,181842
1971,Male,21,114186
1972,Male,21,114775
1973,Male,21,115478
1974,Male,21,118841
1975,Male,21,116171
1976,Male,21,118997
1977,Male,21,122858
1978,Male,21,123661
1979,Male,21,127909
1980,Male,21,130645
1981,Male,21,133949
1982,Male,21,138186
1983,Male,21,138208
1984,Male,21,137888
1985,Male,21,136062
1986,Male,21,132623
1987,Male,21,131499
1988,Male,21,132431
1989,Male,21,135618
1990,Male,21,139630
1991,Male,21,144650
1992,Male,21,153128
1993,Male,21,150892
1994,Male,21,143695
1995,Male,21,139388
1996,Male,21,137719
1997,Male,21,132971
1998,Male,21,130378
1999,Male,21,129073
2000,Male,21,128563
2001,Male,21,131641
2002,Male,21,136588
2003,Male,21,139513
2004,Male,21,143203
2005,Male,21,143860
2006,Male,21,147325
2007,Male,21,150617
2008,Male,21,154005
2009,Male,21,159611
2010,Male,21,163174
2011,Male,21,165562
2012,Male,21,163335
2013,Male,21,162086
2014,Male,21,163898
2015,Male,21,167716
2016,Male,21,171579
2017,Male,21,169440
2018,Male,21,169407
2019,Male,21,171560
2020,Male,21,169849
2021,Male,21,165688
2022,Male,21,168204
2023,Male,21,171763
2024,Male,21,176904
2025,Male,21,183154
1971,Male,22,111514
1972,Male,22,115455
1973,Male,22,115775
1974,Male,22,117106
1975,Male,22,118684
1976,Male,22,115520
1977,Male,22,119838
1978,Male,22,123774
1979,Male,22,124615
1980,Male,22,128728
1981,Male,22,131430
1982,Male,22,135237
1983,Male,22,138979
1984,Male,22,138626
1985,Male,22,138550
1986,Male,22,137023
1987,Male,22,133327
1988,Male,22,132616
1989,Male,22,133364
1990,Male,22,136182
1991,Male,22,139358
1992,Male,22,144117
1993,Male,22,152586
1994,Male,22,150221
1995,Male,22,143852
1996,Male,22,139712
1997,Male,22,136774
1998,Male,22,132343
1999,Male,22,130032
2000,Male,22,128949
2001,Male,22,129055
2002,Male,22,132913
2003,Male,22,138366
2004,Male,22,141573
2005,Male,22,145455
2006,Male,22,147279
2007,Male,22,152442
2008,Male,22,157095
2009,Male,22,161759
2010,Male,22,163172
2011,Male,22,165309
2012,Male,22,170006
2013,Male,22,168599
2014,Male,22,167366
2015,Male,22,168988
2016,Male,22,172952
2017,Male,22,177329
2018,Male,22,175724
2019,Male,22,176378
2020,Male,22,173350
2021,Male,22,166674
2022,Male,22,172107
2023,Male,22,181605
2024,Male,22,181401
2025,Male,22,184697
1971,Male,23,116504
1972,Male,23,113052
1973,Male,23,116168
1974,Male,23,117069
1975,Male,23,117436
1976,Male,23,118657
